Upload ID,ID,Submitted At (UTC),Submitter Name,DOI,Authors,Species,Year,Location,Latitude,Longitude,Sample Type,Experimental Duration (days),Notes,pCO2 (ppm),pCO2 SD,pCO2 SE,pH NBS,pH NBS SD,pH NBS SE,pH SWS,pH SWS SD,pH SWS SE,pH Tot,pH Tot SD,pH Tot SE,Temperature (°C),Temp SD,Temp SE,Salinity (psu),Sal SD,Sal SE,TA (μmol/kg),TA SD,TA SE,Omega A,Omega A SD,Omega A SE,Omega C,Omega C SD,Omega C SE,DIC (μmol/kg),DIC SD,DIC SE,CO3 (μmol/kg),CO3 SD,CO3 SE,HCO3 (μmol/kg),HCO3 SD,HCO3 SE,DO (μmol/kg),DO SD,DO SE,Irradiance (μmol/m2/s),Irr SD,Irr SE,Irradiance Total (mol quanta m-2day-1),Irr Total SD,Irr Total SE,N,Calcification Rate,Calcification Rate SD,Calcification Rate SE,Calcification Rate Unit
NQL2R4G9,22,2025-11-26 21:15:34 UTC,asdf,10.1038/s41598-019-40620-8,Briggs A.A.; Carpenter R.C.,Porolithon onkodes,,"Mo'orea, French Polynesia",-17.4779194444444,-149.839666666667,,,,995.2,,,,,,,,,7.702,,,27.4,,,35.4,,,2271.2,,,,,,,,,,,,,,,,,,,,,402.3,,,,,,32.0,0.46414419547986,0.0279110288325315,0.15788862205901,mg cm-2day-1
NQL2R4G9,23,2025-11-26 21:15:34 UTC,asdf,10.3354/meps10981,"Campbell, J.E., Craft, J.D., Muehllehner, N., Langdon, C. and Paul, V.J.",Halimeda simulans,,"Key Largo, Florida, US",25.02,-80.49,,,,430.2,,,,,,,,,7.95,,,28.0,,,35.6,,,1925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,50.7179274312466,10.4663671854358,20.9327343708716,mg g-1day-1
NQL2R4G9,24,2025-11-26 21:15:34 UTC,asdf,10.3354/meps10981,"Campbell, J.E., Craft, J.D., Muehllehner, N., Langdon, C. and Paul, V.J.",Halimeda simulans,,"Key Largo, Florida, US",25.02,-80.49,,,,1022.5,,,,,,,,,7.63,,,28.1,,,35.7,,,1965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,22.603692080475,2.5821499039044,5.1642998078088,mg g-1day-1
NQL2R4G9,25,2025-11-26 21:15:34 UTC,asdf,10.3354/meps10981,"Campbell, J.E., Craft, J.D., Muehllehner, N., Langdon, C. and Paul, V.J.",Halimeda simulans,,"Key Largo, Florida, US",25.02,-80.49,,,,2429.6,,,,,,,,,7.32,,,28.1,,,35.6,,,2148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,11.5630441003117,2.740376227035,5.48075245407,mg g-1day-1
NQL2R4G9,26,2025-11-26 21:15:34 UTC,asdf,10.3354/meps10981,"Campbell, J.E., Craft, J.D., Muehllehner, N., Langdon, C. and Paul, V.J.",Halimeda incrassata,,"Key Largo, Florida, US",25.02,-80.49,,,,430.2,,,,,,,,,7.95,,,28.0,,,35.6,,,1925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.94376572636009,4.26227511869511,8.52455023739022,mg g-1day-1
NQL2R4G9,27,2025-11-26 21:15:34 UTC,asdf,10.3354/meps10981,"Campbell, J.E., Craft, J.D., Muehllehner, N., Langdon, C. and Paul, V.J.",Halimeda incrassata,,"Key Largo, Florida, US",25.02,-80.49,,,,1022.5,,,,,,,,,7.63,,,28.1,,,35.7,,,1965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0421135062649,2.7869238256413,5.5738476512826,mg g-1day-1
NQL2R4G9,28,2025-11-26 21:15:34 UTC,asdf,10.3354/meps10981,"Campbell, J.E., Craft, J.D., Muehllehner, N., Langdon, C. and Paul, V.J.",Halimeda incrassata,,"Key Largo, Florida, US",25.02,-80.49,,,,2429.6,,,,,,,,,7.32,,,28.1,,,35.6,,,2148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.90523208371194,2.34809337594132,4.69618675188264,mg g-1day-1
NQL2R4G9,29,2025-11-26 21:15:34 UTC,asdf,10.3354/meps11591,Peach K.E.; Koch M.S.; Blackwelder P.L.,Halimeda discoidea,,"Boca Raton, Florida, US",26.327,-80.0721666666667,,,,491.0,,,8.06,,,,,,7.92166525379566,,,26.2,,,36.0,,,2266.0,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,9.0,1.0,16.0,48.0,mg g-1day-1
NQL2R4G9,30,2025-11-26 21:15:34 UTC,asdf,10.3354/meps11591,Peach K.E.; Koch M.S.; Blackwelder P.L.,Halimeda discoidea,,"Boca Raton, Florida, US",26.327,-80.0721666666667,,,,653.0,,,8.0,,,,,,7.86204199414445,,,26.0,,,35.9,,,2286.0,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,9.0,4.0,9.0,27.0,mg g-1day-1
NQL2R4G9,31,2025-11-26 21:15:34 UTC,asdf,10.3354/meps11591,Peach K.E.; Koch M.S.; Blackwelder P.L.,Halimeda discoidea,,"Boca Raton, Florida, US",26.327,-80.0721666666667,,,,982.0,,,7.86,,,,,,7.72234984361455,,,26.0,,,36.2,,,2298.0,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,9.0,26.0,15.0,45.0,mg g-1day-1
